"Taxon"	"BCD1"	"BCD2"	"BCP1"	"BCP2"	"BD1"	"BD4"	"BP1"	"BP4"	"CD1"	"CD2"	"CD3"	"CD4"	"CD5"	"CD8"	"CP1"	"CP2"	"CP3"	"CP4"	"CP5"	"CP8"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia"	0.0001254076	0	0.0001988763	0	0	0	0	0	0.0002123443	0	0	0.0021280576	0.000570532	0.0002624098	0.0004291109	0	0	0.0013582343	0.0004058771	0.0024857164
"Bacteria;Firmicutes;Clostridia;Clostridiales;Other;Other"	0.0250815149	0.0960960961	0.0974494108	0.1387559809	0.1524663677	0.1822660099	0.0987654321	0.1370967742	0.0643757078	0.0426122593	0.0958589367	0.2237734437	0.1655969191	0.0376995408	0.1740817027	0.1343544493	0.2416546002	0.210229202	0.253916714	0.1271796394
"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Other"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"1.71644352901e-05"	0	0	0	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium"	0	0	0	0	0	0	0	0	0	0	0.0025113545	0.0011692624	0	0	0	0	0.0063006301	0.0033106961	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio"	0	0	0	0	0	0	0	0	"7.07814269536e-05"	0.0005287974	0	"4.67704971704e-05"	0.000142633	"4.37349661054e-05"	0.000274631	0.0004994589	0	"8.48896434635e-05"	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum"	0	0	"4.97190871576e-05"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus"	0.0001254076	0	0.0002983145	0	0	0	0	0	"3.53907134768e-05"	0	"5.34330750735e-05"	0.0001169262	0	0	0.0001716444	0.0002081079	0.000117403	"4.24448217317e-05"	"8.11754200828e-05"	"3.71002448616e-05"
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus"	0.0005016303	0	0.0010441008	0	0	0	0	0	0.0019110985	0.0005728639	0.0017098584	0.0046302792	0.0018542291	0.0002186748	0.0071918984	0.0014983768	0.0068093766	0.0034804754	0.0019482101	0.0025599169
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens"	0	0	0	0	0	0	0.0061728395	0	0.0001415629	"8.81329044199e-05"	0.0001602992	0	0	"4.37349661054e-05"	0.0003261243	0.0001248647	0.0002739404	0	0.0002435263	0.0002226015
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Lactonifactor"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8.48896434635e-05"	0	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter"	0.001755706	0.006006006	0.0059165714	0.038277512	0.0134529148	0.0049261084	0	0	0.0035390713	0.0011016613	0.0022976222	0.0113652308	0.0109827414	0.0007434944	0.0183831102	0.0050778323	0.0164755606	0.006663837	0.0145304002	0.0035987238
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other"	0.0047654878	0.024024024	0.0231690946	0.0215311005	0.0089686099	0.0197044335	0.012345679	0.0403225806	0.0180138732	0.0086810911	0.0115415442	0.0415555867	0.053915276	0.0039361469	0.062736011	0.0378340132	0.0689547216	0.0423599321	0.0512216901	0.0188840246
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter"	0	0	0.0002983145	0	0	0	0	0	0.0001061721	"4.40664522099e-05"	0	0.0020812871	0.000998431	"4.37349661054e-05"	0.0007037418	0.0001664863	0.0006652839	0.0008913413	0.0004058771	0.0002597017
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus"	0	0	0.0001491573	0	0	0.0197044335	0	0	0.0001061721	0.0004406645	0.0003205985	"7.01557457556e-05"	0.000285266	0	"8.58221764504e-05"	"8.32431532506e-05"	0.0001565374	0.0004244482	0.0004058771	0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter"	0	0	0	0	0	0	0	0	0.0001415629	0	0	0	0.000570532	0	0.0004119464	0.0001664863	0.0006261496	0	0.0008929296	0
"Bacteria;Firmicutes;Clostridia;Other;Other;Other"	0	0	"9.94381743151e-05"	0	0	0	0	0.0080645161	0	0.0002643987	0.0001602992	0.0001636967	0	0	"1.71644352901e-05"	"4.16215766253e-05"	"7.82686964349e-05"	0.0001273345	0	0.000148401
"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum"	0.1013293203	0.012012012	0.0638393079	0.0693779904	0	0	0.0061728395	0	"7.07814269536e-05"	0.0001762658	0	0	0	0	"3.43288705802e-05"	0	0	0	0	"3.71002448616e-05"
"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus"	0	0	0	0.0023923445	0	0	0	0	0.0033267271	0	0.0062516698	0.0007717132	0.0014263301	0.0001312049	0.0024716787	0	0.0006652839	0.0011035654	0.0004870525	0
"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Holdemania"	0.0001254076	0	0	0	0	0	0	0	0.0006724236	0.0051557749	0.0016029923	0.0044665825	0.0108401084	0.0084408485	0.000669413	0.0030799967	0.0001565374	0.0089983022	0.006575209	0.0083846553
"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Other"	0.0006270379	0	0.0009446627	0	0	0	0	0	0.0001061721	0.0008372626	0.0004808977	0.0001636967	0	0.0018368686	0.0001716444	0.0001248647	"3.91343482174e-05"	0.0002546689	0	0.000148401
"Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter"	0	0	0	0	0	0	0.0802469136	0.1048387097	"7.07814269536e-05"	"4.40664522099e-05"	0.0023510553	0.0010757214	0	0	0.0001029866	"4.16215766253e-05"	0.0022697922	0.0124363328	0	0
